id,county_name,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,rate,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips
'45021','Cherokee',34132,2.6,0.97534,61.57135,28.94222,66.03096,32.87139,51.89031,20.41268,32.62913,1.80469,24958.73434,8.24158
'29017','Bollinger',42278,2.41,1.09927,54.84349,22.22303,56.51518,23.67136,48.65236,16.85911,32.62046,2.08776,31915.73903,0.44617
'35039','Rio Arriba',41437,2.65,1.02956,59.94021,27.34677,62.71218,29.91365,48.9865,17.20352,32.59343,2.06616,31431.39286,1.70874
'22043','Grant',40571,2.61,1.05021,57.77047,25.18401,59.93308,27.20822,50.03903,17.94734,32.58646,2.05526,30132.21102,12.2768
'29023','Butler',33525,2.41,0.95953,59.8151,27.2741,64.32882,31.04571,50.59131,19.56681,32.541,1.799,24248.71707,5.02474
'40079','Le Flore',38295,2.59,1.05948,56.98362,24.44507,59.83452,27.03027,49.13375,17.32682,32.53855,1.97481,29046.84482,0.91296
'48059','Callahan',42286,2.46,1.08579,59.20538,26.68431,61.01987,28.49628,50.46006,17.95107,32.52108,2.07159,32696.63988,11.1705
'22111','Union',39705,2.63,1.10237,55.7005,23.19681,57.6616,24.97707,47.34845,15.61491,32.50369,2.06586,30257.6501,6.15072
'39009','Athens',31559,2.44,0.91979,67.95975,35.48139,74.11854,40.52252,59.23069,28.33642,32.47837,1.70757,22603.62749,16.75267
'28115','Pontotoc',38609,2.59,1.10353,59.30575,26.83676,61.55838,28.94915,51.49847,19.51554,32.46899,2.00786,29385.81058,3.07389
'47057','Grainger',37656,2.51,1.01247,59.10019,26.64019,61.03861,28.53782,49.96906,17.70123,32.45999,1.94354,28384.41099,1.51935
'46045','Edmunds',45694,2.33,1.19191,57.93737,25.47785,60.6808,28.07935,46.45264,14.58725,32.45952,2.27272,33653.82391,39.09721
'55037','Florence',42005,2.28,0.96735,61.587,29.17761,64.10784,31.71808,47.12535,14.60332,32.40939,2.07511,31257.50571,0
'47053','Gibson',35947,2.47,0.98746,59.66403,27.28063,63.16204,30.45725,50.67501,19.11748,32.3834,1.85892,26900.08649,1.49618
'29001','Adair',31213,2.29,0.95977,61.36986,29.04107,68.09126,34.22528,50.82566,20.90835,32.32879,1.71006,21637.29499,10.41259
'01061','Geneva',38846,2.54,1.0584,56.87817,24.5992,60.21937,27.74464,48.44888,16.66376,32.27897,1.98822,29746.40176,0.44995
'41049','Morrow',45577,2.66,1.0742,59.76987,27.50881,63.67188,31.15618,50.11974,18.48842,32.26106,2.14996,32719.723,0
'22031','De Soto',41124,2.55,1.09765,57.49561,25.24552,60.69644,28.19048,47.02742,15.61411,32.25009,2.04092,30652.94485,1.57477
'17035','Cumberland',37428,2.26,0.93971,59.49862,27.28044,62.4235,30.08443,48.0506,16.3056,32.21817,1.91409,28060.93151,0.69971
'13009','Baldwin',34513,2.59,0.92199,64.04877,31.83184,70.22465,37.29495,54.56635,23.44379,32.21693,1.78492,25204.74435,6.16915
'06103','Tehama',38137,2.6,0.87513,68.88756,36.67186,76.05862,42.9236,55.48363,24.98627,32.21571,1.87009,27167.33962,3.75439
'47139','Polk',39501,2.54,1.04596,58.37503,26.18338,60.7241,28.40449,48.54253,16.88644,32.19165,2.00491,29808.40446,2.06802
